,parsable_tree,latex_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed
0,[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
1,"[+, +, *, x_5, x_5, x_5, -, -, x_5, x_4, x_12]",(((x_5*x_5)+x_5)+((x_5-x_4)-x_12)),20.30889320373535,-74.4000015258789,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
2,"[-, -, x_5, x_9, x_12]",((x_5-x_9)-x_12),24.274131774902344,-77.0999984741211,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
3,"[-, -, x_5, +, x_12, x_12, x_10]",((x_5-(x_12+x_12))-x_10),21.7777099609375,-76.19999694824219,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
4,"[-, +, x_3, x_5, +, +, x_12, x_10, x_12]",((x_3+x_5)-((x_12+x_10)+x_12)),20.542016983032227,-75.30000305175781,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
5,"[max, -, x_3, x_12, +, -, x_5, x_12, x_5]","max((x_3-x_12),((x_5-x_12)+x_5))",16.982173919677734,-67.4000015258789,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
6,"[+, +, *, x_5, x_5, x_5, -, -, -, x_3, x_12, x_4, x_12]",(((x_5*x_5)+x_5)+(((x_3-x_12)-x_4)-x_12)),17.436220169067383,-73.5,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
7,"[max, +, +, x_3, -, x_5, x_12, -, -, x_5, x_4, +, x_12, x_7, -, -, x_3, x_12, x_9]","max(((x_3+(x_5-x_12))+((x_5-x_4)-(x_12+x_7))),((x_3-x_12)-x_9))",13.544991493225098,-62.900001525878906,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
8,"[max, -, x_3, x_12, +, -, -, x_3, x_12, x_12, x_5]","max((x_3-x_12),(((x_3-x_12)-x_12)+x_5))",14.191986083984375,-66.5,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
9,"[max, +, -, -, x_3, x_12, x_12, x_5, +, *, x_9, -, x_10, x_12, -, x_12, x_12]","max((((x_3-x_12)-x_12)+x_5),((x_9*(x_10-x_12))+(x_12-x_12)))",13.718527793884277,-63.79999923706055,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
10,"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,-78.0,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40
